DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1996-01,69.91,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1996-02,69.98,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1996-03,70.12,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1996-04,70.47,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1996-05,70.61,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1996-06,70.47,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1996-07,70.40,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1996-08,70.40,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1996-09,70.54,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1996-10,70.89,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1996-11,70.89,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1996-12,71.03,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1997-01,71.39,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1997-02,71.32,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1997-03,71.03,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1997-04,71.25,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1997-05,71.60,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1997-06,71.60,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1997-07,71.74,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1997-08,71.60,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1997-09,71.67,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1997-10,71.74,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1997-11,71.81,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1997-12,71.67,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1998-01,71.74,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1998-02,71.88,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1998-03,71.74,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1998-04,72.16,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1998-05,72.51,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1998-06,72.44,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1998-07,72.59,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1998-08,72.30,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1998-09,72.23,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1998-10,72.23,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1998-11,72.23,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1998-12,72.16,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1999-01,72.44,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1999-02,72.59,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1999-03,72.66,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1999-04,72.94,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1999-05,73.08,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1999-06,72.94,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1999-07,73.08,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1999-08,72.94,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1999-09,73.15,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1999-10,73.22,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1999-11,73.36,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,1999-12,73.64,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2000-01,72.66,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2000-02,74.14,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2000-03,74.49,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2000-04,74.63,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2000-05,74.84,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2000-06,75.12,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2000-07,74.35,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2000-08,75.47,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2000-09,76.04,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2000-10,75.90,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2000-11,76.04,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2000-12,75.83,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2001-01,74.64,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2001-02,75.98,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2001-03,76.12,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2001-04,76.80,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2001-05,77.20,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2001-06,77.34,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2001-07,76.37,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2001-08,77.38,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2001-09,77.49,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2001-10,77.40,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2001-11,77.40,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2001-12,77.29,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2002-01,76.61,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2002-02,77.86,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2002-03,78.04,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2002-04,78.09,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2002-05,78.20,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2002-06,77.99,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2002-07,77.25,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2002-08,78.33,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2002-09,78.41,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2002-10,78.34,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2002-11,78.23,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2002-12,78.32,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2003-01,77.51,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2003-02,79.16,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2003-03,79.38,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2003-04,79.24,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2003-05,78.93,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2003-06,79.18,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2003-07,78.32,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2003-08,79.64,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2003-09,79.75,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2003-10,79.51,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2003-11,79.64,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2003-12,79.60,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2004-01,78.59,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2004-02,80.05,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2004-03,80.11,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2004-04,80.57,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2004-05,80.82,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2004-06,80.75,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2004-07,79.92,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2004-08,81.27,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2004-09,81.19,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2004-10,81.58,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2004-11,81.45,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2004-12,81.20,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2005-01,80.14,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2005-02,81.86,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2005-03,82.39,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2005-04,82.55,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2005-05,82.65,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2005-06,82.93,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2005-07,82.10,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2005-08,83.59,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2005-09,83.56,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2005-10,83.44,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2005-11,83.40,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2005-12,83.44,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2006-01,82.33,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2006-02,84.22,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2006-03,84.16,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2006-04,84.63,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2006-05,84.93,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2006-06,85.00,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2006-07,84.09,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2006-08,85.54,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2006-09,85.13,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2006-10,84.88,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2006-11,85.06,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2006-12,85.17,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2007-01,83.73,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2007-02,85.71,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2007-03,85.71,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2007-04,86.14,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2007-05,86.04,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2007-06,86.10,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2007-07,85.19,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2007-08,86.52,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2007-09,86.36,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2007-10,86.76,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2007-11,87.50,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2007-12,87.82,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2008-01,86.68,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2008-02,88.82,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2008-03,89.47,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2008-04,89.65,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2008-05,90.43,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2008-06,91.06,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2008-07,90.21,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2008-08,91.16,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2008-09,91.07,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2008-10,90.92,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2008-11,90.32,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2008-12,90.19,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2009-01,88.50,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2009-02,90.54,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2009-03,90.04,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2009-04,90.31,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2009-05,90.21,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2009-06,90.10,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2009-07,88.65,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2009-08,90.51,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2009-09,90.14,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2009-10,90.12,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2009-11,90.30,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2009-12,90.49,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2010-01,89.20,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2010-02,91.28,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2010-03,91.75,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2010-04,92.16,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2010-05,92.48,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2010-06,92.50,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2010-07,90.81,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",All-items HICP,Belgium,2010-08,92.67,,
